component,variance_ratio
component_1,0.38629555120210185
component_2,0.08626901921961393
component_3,0.0651620592478345
component_4,0.04183221899798911
component_5,0.031169373090258808
component_6,0.024201273306978795
component_7,0.02313089432127612
component_8,0.018867724083292795
component_9,0.018436490336702534
component_10,0.014251936838776607
component_11,0.01258821375094968
component_12,0.010379519725591632
component_13,0.010292188992624034
component_14,0.00960247777348694
component_15,0.008966521503833366
component_16,0.007540978983550384
component_17,0.007400742659648863
component_18,0.007005877463332522
component_19,0.006142123532826299
component_20,0.00584199846967655
component_21,0.005445712405392303
component_22,0.005228993082045586
component_23,0.005142762582926524
component_24,0.004915969870774427
component_25,0.004400989894192925
component_26,0.004181441632632475
component_27,0.004146164275223846
component_28,0.003997041992669418
component_29,0.003868567443940147
component_30,0.0036244308182848024
component_31,0.003474737425555792
component_32,0.0034313319306854694
component_33,0.00331284415624101
component_34,0.003294932631781039
component_35,0.0030844914098483445
component_36,0.0030040390111619243
component_37,0.002926718300907611
component_38,0.0028705018098393125
component_39,0.002768552304516183
component_40,0.002688959317898006
component_41,0.0026113635546624074
component_42,0.002568765187636797
component_43,0.002485747602431045
component_44,0.0024196005065353857
component_45,0.0023783232259512125
component_46,0.0022914737743191726
component_47,0.0022521924210949606
component_48,0.002146364640638153
component_49,0.002117827808709681
component_50,0.0020323900999806043
component_51,0.0019994931706537613
component_52,0.001934270213818326
component_53,0.001915515298298892
component_54,0.0018345736019903937
component_55,0.0017969665716906767
component_56,0.00174999436605274
component_57,0.0017265121203649408
component_58,0.0016802179653033701
component_59,0.0016428051820817512
component_60,0.0015808200401054987
component_61,0.0015568180404415173
component_62,0.0015389965565570359
component_63,0.001518057267116713
component_64,0.0014602086944751718
component_65,0.001425964468909088
component_66,0.0014014622570277932
component_67,0.0013747537942864086
component_68,0.0013527827340351483
component_69,0.0013301804106388613
component_70,0.001306884408662282
component_71,0.00128096882099544
component_72,0.0012529285861329223
component_73,0.0012457123756383093
component_74,0.0012043744210483572
component_75,0.0011893744889049799
component_76,0.0011642999446884966
component_77,0.001141065536599837
component_78,0.0011265453102500898
component_79,0.0010964344525202063
component_80,0.0010835496086279844
component_81,0.0010470055287086278
component_82,0.0010414683163341052
component_83,0.0010215707547864348
component_84,0.0010087311632164548
component_85,0.0009919255284205322
component_86,0.0009755023425803097
component_87,0.0009528012152414146
component_88,0.000938491129561677
component_89,0.0009355507498777381
component_90,0.0009183461682191825
component_91,0.0009028976235002745
component_92,0.0008929749234695462
